TransactionID,Date,CustomerID,TransactionType,Channel,Amount,Segment,Branch,MerchantCategory,PaymentMethod,Currency,Status,TimeOfDay
BTD00001,2025-01-01,ASR2775,Payment,ATM,13106457,Regular,Manado,Electronics,QRIS,CNY,Success,Afternoon
BTD00002,2025-01-01,ASR5494,Payment,Mobile Apps,8706522,Corporate,Pontianak,Entertainment,Debit Card,THB,Failed,Morning
BTD00003,2025-01-01,ASR9463,Deposit,Internet Banking,26063,Corporate,Makassar,Electronics,Debit Card,USD,Pending,Evening
BTD00004,2025-01-01,ASR3073,Payment,Teller,14307685,Premium,Balikpapan,Electronics,QRIS,KRW,Pending,Morning
BTD00005,2025-01-01,ASR1122,Transfer,Teller,12290606,Regular,Pontianak,Electronics,Virtual Account,JPY,Pending,Morning
BTD00006,2025-01-01,ASR2371,Withdrawal,Internet Banking,6233967,Corporate,Balikpapan,Utilities,Credit Card,THB,Pending,Afternoon
BTD00007,2025-01-01,ASR8036,Deposit,ATM,10930617,Regular,Denpasar,Utilities,Debit Card,MYR,Failed,Evening
BTD00008,2025-01-01,ASR5327,Transfer,ATM,5542665,Corporate,Palembang,Food,Debit Card,USD,Failed,Evening
BTD00009,2025-01-01,ASR0832,Deposit,Teller,7050691,Premium,Jakarta,Fashion,Debit Card,THB,Pending,Night
BTD00010,2025-01-01,ASR4652,Deposit,ATM,9988307,Premium,Surabaya,Electronics,QRIS,AUD,Failed,Night
BTD00011,2025-01-01,ASR5260,Withdrawal,Mobile Apps,8328383,Premium,Medan,Utilities,Credit Card,CNY,Success,Afternoon
BTD00012,2025-01-01,ASR1026,Withdrawal,Teller,8227915,Premium,Medan,Electronics,Debit Card,USD,Pending,Evening
BTD00013,2025-01-01,ASR6181,Transfer,ATM,4274238,Regular,Bandung,Fashion,Credit Card,SGD,Pending,Morning
BTD00014,2025-01-01,ASR7478,Deposit,Internet Banking,10041807,Premium,Palembang,Fashion,Virtual Account,THB,Success,Morning
BTD00015,2025-01-01,ASR0430,Withdrawal,ATM,10854871,Premium,Makassar,Fashion,Debit Card,SGD,Failed,Morning
BTD00016,2025-01-01,ASR8537,Withdrawal,Internet Banking,3711242,Corporate,Medan,Electronics,Virtual Account,SGD,Failed,Evening
BTD00017,2025-01-01,ASR8438,Deposit,Mobile Apps,3630217,Corporate,Balikpapan,Utilities,QRIS,CNY,Success,Afternoon
BTD00018,2025-01-01,ASR0978,Transfer,Mobile Apps,11592705,Corporate,Jayapura,Fashion,QRIS,SAR,Success,Evening
BTD00019,2025-01-01,ASR9514,Deposit,Teller,11693086,Premium,Surabaya,Entertainment,Debit Card,MYR,Failed,Evening
BTD00020,2025-01-01,ASR1601,Transfer,Mobile Apps,403683,Regular,Bandung,Fashion,Virtual Account,KRW,Failed,Morning
BTD00021,2025-01-01,ASR2993,Payment,Mobile Apps,14392770,Corporate,Jayapura,Food,Debit Card,SAR,Success,Afternoon
BTD00022,2025-01-01,ASR5910,Transfer,Teller,12960364,Regular,Medan,Fashion,Debit Card,EUR,Failed,Evening
BTD00023,2025-01-01,ASR7454,Payment,ATM,10316954,Regular,Pontianak,Entertainment,Virtual Account,CNY,Success,Night
BTD00024,2025-01-01,ASR6948,Transfer,ATM,1465536,Regular,Makassar,Fashion,Credit Card,CNY,Failed,Afternoon
BTD00025,2025-01-01,ASR0447,Withdrawal,Mobile Apps,3384386,Regular,Makassar,Electronics,Credit Card,USD,Pending,Afternoon
BTD00026,2025-01-01,ASR1447,Payment,ATM,13045060,Corporate,Balikpapan,Fashion,QRIS,CNY,Failed,Afternoon
BTD00027,2025-01-01,ASR7246,Deposit,Internet Banking,2492345,Regular,Palembang,Utilities,Debit Card,JPY,Failed,Morning
BTD00028,2025-01-01,ASR4486,Transfer,Teller,3849147,Regular,Jakarta,Utilities,Debit Card,AUD,Pending,Afternoon
BTD00029,2025-01-01,ASR9535,Withdrawal,Mobile Apps,14208379,Premium,Surabaya,Entertainment,Virtual Account,SGD,Success,Evening
BTD00030,2025-01-01,ASR9314,Payment,Mobile Apps,11653903,Premium,Bandung,Entertainment,Virtual Account,SGD,Failed,Morning
BTD00031,2025-01-01,ASR4321,Withdrawal,Teller,8231024,Premium,Bandung,Electronics,Credit Card,CNY,Success,Night
BTD00032,2025-01-01,ASR1438,Transfer,Mobile Apps,4190850,Corporate,Medan,Entertainment,Debit Card,SAR,Pending,Evening
BTD00033,2025-01-01,ASR1420,Payment,Mobile Apps,3538079,Regular,Jakarta,Entertainment,QRIS,SAR,Failed,Night
BTD00034,2025-01-01,ASR6383,Withdrawal,Mobile Apps,13046296,Premium,Bandung,Utilities,Credit Card,AUD,Failed,Morning
BTD00035,2025-01-01,ASR9654,Deposit,Teller,11873600,Regular,Makassar,Fashion,Credit Card,EUR,Success,Evening
BTD00036,2025-01-01,ASR0022,Withdrawal,Teller,5941260,Regular,Surabaya,Food,Virtual Account,SGD,Failed,Morning
BTD00037,2025-01-01,ASR1412,Deposit,Internet Banking,5201963,Corporate,Palembang,Electronics,Debit Card,SGD,Failed,Evening
BTD00038,2025-01-01,ASR2870,Transfer,Mobile Apps,5860949,Premium,Makassar,Electronics,Virtual Account,EUR,Pending,Night
BTD00039,2025-01-01,ASR6087,Transfer,Teller,12897763,Premium,Jakarta,Entertainment,Credit Card,CNY,Success,Morning
BTD00040,2025-01-01,ASR9031,Transfer,Internet Banking,7395000,Premium,Balikpapan,Electronics,Debit Card,IDR,Pending,Evening
BTD00041,2025-01-01,ASR9820,Transfer,Internet Banking,5120000,Premium,Medan,Food,Debit Card,IDR,Failed,Night
BTD00042,2025-01-01,ASR3871,Payment,ATM,11026000,Corporate,Surabaya,Fashion,Debit Card,IDR,Failed,Morning
BTD00043,2025-01-01,ASR3589,Transfer,Internet Banking,11359500,Regular,Makassar,Fashion,Debit Card,IDR,Pending,Evening
BTD00044,2025-01-01,ASR2170,Transfer,Internet Banking,4090661,Corporate,Makassar,Entertainment,Virtual Account,USD,Success,Night
BTD00045,2025-01-01,ASR5973,Withdrawal,ATM,4076215,Premium,Palembang,Fashion,Virtual Account,MYR,Pending,Evening
BTD00046,2025-01-01,ASR0709,Transfer,ATM,14467788,Corporate,Jakarta,Utilities,QRIS,JPY,Success,Morning
BTD00047,2025-01-01,ASR6059,Payment,Mobile Apps,7433352,Regular,Denpasar,Utilities,Virtual Account,AUD,Failed,Afternoon
BTD00048,2025-01-01,ASR3309,Deposit,ATM,13965694,Premium,Bandung,Utilities,Debit Card,MYR,Success,Afternoon
BTD00049,2025-01-01,ASR1598,Deposit,ATM,8192147,Corporate,Palembang,Utilities,Debit Card,MYR,Pending,Evening
BTD00050,2025-01-01,ASR0360,Deposit,Mobile Apps,4707184,Premium,Medan,Electronics,Debit Card,KRW,Success,Morning
BTD00051,2025-01-01,ASR0451,Deposit,ATM,13165485,Corporate,Medan,Fashion,Credit Card,USD,Success,Afternoon
BTD00052,2025-01-01,ASR6696,Transfer,Internet Banking,5218823,Premium,Denpasar,Entertainment,Virtual Account,CNY,Success,Evening
BTD00053,2025-01-01,ASR6789,Payment,Mobile Apps,8211923,Corporate,Manado,Food,Virtual Account,USD,Failed,Morning
BTD00054,2025-01-01,ASR1875,Transfer,Mobile Apps,836658,Premium,Palembang,Fashion,Credit Card,EUR,Failed,Night
BTD00055,2025-01-01,ASR5448,Withdrawal,Mobile Apps,10317995,Corporate,Makassar,Electronics,QRIS,MYR,Success,Afternoon
BTD00056,2025-01-01,ASR5243,Payment,Mobile Apps,10797451,Premium,Makassar,Electronics,Virtual Account,KRW,Pending,Morning
BTD00057,2025-01-01,ASR1710,Withdrawal,ATM,6220967,Corporate,Manado,Utilities,Debit Card,MYR,Pending,Night
